plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
275,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0
298,56225,32643,32173,77760,61975,1753,26217,4509,5497,47590,50527,57515
298,0,0,0,0,0,0,0,0,0,0,0,0
298,310651,78285,142668,138397,412240,540952,529172,638077,570740,353122,350356,414487
315,643280,160080,225080,110050,49130,169620,2133380,1808580,782430,704660,844190,623710
319,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0
335,25300,1000,45140,21260,0,0,517710,341260,118120,213000,372660,197210
344,0,0,0,0,0,0,0,0,0,0,0,0
350,24914,7126,0,81414,94956,155722,940223,1379378,0,375912,0,8342
356,105890,194250,115810,76040,20630,155550,1583280,853250,392240,408940,506910,283060
358,65678,51710,49187,12657,3097,9975,109699,87323,40517,38328,27671,145424
358,2007135,1446636,1308433,485222,227135,242999,2759609,3008625,1358287,1963461,1118814,3054408
371,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,94,0,0,0,0,0,0,0,0,0
377,36,1154,26,0,3113,4055,126660,103792,6617,14,0,4166
377,0,0,0,0,0,0,0,0,0,0,0,0
377,41434,0,46029,25728,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0
384,230323,323822,0,111665,62192,484954,3078442,3169090,0,0,Null,Null
384,0,0,0,0,0,0,0,0,0,0,Null,Null
389,584,606,839,844,754,622,681,703,544,445,373,430
389,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0
389,500543,457651,401486,72959,465637,782654,1089634,1062670,996328,662542,513979,499574
389,0,0,84425,298595,242776,225724,150799,168160,209103,225140,112859,0
389,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0
392,30678,47619,54508,76245,69688,44504,64112,55911,35725,45888,53795,22915
399,0,0,0,0,0,0,0,0,0,0,0,0
399,0,55143,0,0,0,16111,0,77830,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
399,268758,29409,98486,11261,35455,0,223931,87462,67303,99295,109921,0
399,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
