plant_id,total_fuel_consumption_quantity,total_elec_consumption,total_fuel_consumption_MMBtu,total_elec_consumption_MMBtu,net_gen_MWh
469,0,0,0,0,1136101
469,20403709,20403709,21136223,21136223,1874669
469,0,0,0,0,0
469,5821181,5821181,6156443,6156443,548736
470,1293803,1293803,1296038,1296038,130598
470,3743905,3743905,65843095,65843095,6637334
477,94474,94474,96688,96688,6609
492,7739,7739,43880,43880,3963
492,1309056,1309056,1340866,1340866,126318
492,0,0,0,0,0
492,0,0,0,0,0
492,0,0,0,0,0
493,245,245,1397,1397,84
493,428940,428940,439258,439258,31130
518,0,0,828417,828417,242795
518,41324,41324,0,0,-41145
525,1183130,1183130,26308429,26308429,2437134
525,3712,3712,21351,21351,1958
525,20741,20741,21566,21566,2006
525,0,0,0,0,0
533,0,0,0,0,125
533,0,0,0,0,1090067
533,575,575,3163,3163,281
533,24800104,24800104,25366986,25366986,2252468
539,17565,17565,0,0,4521
547,667800,667800,0,0,-181121
559,0,0,120604,120604,35347
564,0,0,0,0,0
564,1403010,1403010,1434202,1434202,783341
564,0,0,0,0,0
564,13075567,13075567,13368135,13368135,1200424
564,1313585,1313585,30957003,30957003,2751419
564,354058,354058,191190,191190,16205
564,5885269,5885269,6012047,6012047,524064
566,0,0,56850514,56850514,5441282
566,0,0,85967983,85967983,8228176
568,1615393,1615393,1678393,1678393,247388
568,0,0,0,0,0
568,17498061,17498061,18055231,18055231,2677218
568,28543,28543,166406,166406,20470
568,0,0,0,0,0
568,0,0,0,0,0
568,0,0,0,0,0
589,0,0,0,0,0
589,3379,3379,3528,3528,237
589,285889,285889,2715949,2715949,184561
594,2329,2329,13360,13360,605
594,0,0,0,0,0
594,0,0,0,0,0
594,13316,13316,337908,337908,-6498
594,8363,8363,48128,48128,-3390
594,0,0,0,0,0
594,0,0,0,0,0
602,522186,522186,13453396,13453396,1022566
602,34883,34883,203150,203150,12723
602,0,0,0,0,0
607,2927,2927,16845,16845,1429
607,10224989,10224989,11241015,11241015,965652
609,0,0,0,0,4014
609,0,0,0,0,2497392
609,12844,12844,75998,75998,7333
609,46355528,46355528,47746193,47746193,4610405
612,0,0,0,0,0
612,4031080,4031080,4115220,4115220,3152274
612,0,0,0,0,0
612,62716701,62716701,64051477,64051477,6284292
612,9400,9400,54120,54120,4660
612,4208599,4208599,4300600,4300600,368797
613,54083,54083,311704,311704,28594
613,2804029,2804029,2864760,2864760,256937
617,0,0,0,0,3444
617,0,0,0,0,2033897
617,11488,11488,66215,66215,6147
617,37647221,37647221,38483086,38483086,3589169
617,0,0,0,0,0
617,0,0,0,0,0
619,0,0,0,0,4778
619,0,0,0,0,2404248
619,16424,16424,97183,97183,9816
619,46979028,46979028,48094376,48094376,4844801
619,0,0,0,0,0
620,0,0,0,0,0
620,0,0,0,0,2798683
620,0,0,0,0,0
620,56609194,56609194,57906076,57906076,5127485
621,0,0,0,0,776
621,0,0,0,0,2375142
621,2496,2496,14410,14410,1263
621,45448359,45448359,46466272,46466272,4205409
621,0,0,0,0,0
621,0,0,71401007,71401007,6833940
621,0,0,69460625,69460625,6644818
621,0,0,0,0,0
628,3976491,3976491,4085251,4085251,4682607
628,77514064,77514064,79667882,79667882,7574580
628,1837255,1837255,41716615,41716615,3800641
628,54362,54362,313488,313488,28303
634,0,0,0,0,0
634,1470137,1470137,1499336,1499336,2318409
634,0,0,0,0,0
634,48449499,48449499,49442258,49442258,4229652
634,0,0,0,0,0
634,1988,1988,11356,11356,751
634,274536,274536,280381,280381,18919
641,4159,4159,24283,24283,2142
641,4196910,4196910,4287867,4287867,391903
641,0,0,0,0,0
641,536,536,3125,3125,199
641,22907003,22907003,23411771,23411771,1861279
643,0,0,0,0,1440139
643,28543668,28543668,29221476,29221476,2744359
643,0,0,0,0,0
645,560,560,0,0,-64
645,0,0,0,0,1157564
645,24495147,24495147,25082213,25082213,2687029
645,0,0,0,0,0
645,19302,19302,19714,19714,868
645,0,0,52074,52074,15262
645,305235,305235,6866700,6866700,689834
645,0,0,0,0,0
645,2831890,2831890,2898738,2898738,270834
645,0,0,0,0,0
649,0,0,96583725,96583725,9244231
649,0,0,98588270,98588270,9436090
649,0,0,50357918,50357918,4819862
663,76,76,423,423,-20
663,18959,18959,19399,19399,854
663,9497,9497,238988,238988,18359
663,9938605,9938605,10175676,10175676,793274
663,0,0,0,0,0
667,6459,6459,35503,35503,2029
667,110197,110197,2358622,2358622,216253
667,0,0,0,0,0
667,20810979,20810979,21735251,21735251,1935865
667,383267,383267,11004151,11004151,982140
667,18986,18986,119912,119912,11190
667,44631,44631,500449,500449,44382
676,0,0,0,0,598529
676,12206841,12206841,12462644,12462644,1130427
676,25,25,146,146,11
676,292946,292946,299136,299136,23651
676,0,0,0,0,0
682,0,0,0,0,0
688,0,0,0,0,157
688,11334,11334,11577,11577,476095
688,630,630,3667,3667,313
688,10851961,10851961,11095662,11095662,951731
688,1175,1175,6839,6839,621
688,309613,309613,316478,316478,28561
688,1591426,1591426,1626621,1626621,188724
703,4259094,4259094,100350254,100350254,10212618
703,26159,26159,152166,152166,15475
710,0,0,0,0,103
710,6098124,6098124,6288257,6288257,6477673
710,351,351,2042,2042,200
710,113484363,113484363,117058165,117058165,11346709
710,665,665,3869,3869,-43
710,543,543,558,558,-61
765,0,0,0,0,0
765,0,0,0,0,0
765,4402075,4402075,27561798,27561798,2550227
766,139280,139280,799143,799143,50668
766,0,0,0,0,0
766,0,0,0,0,0
766,2205501,2205501,13803284,13803284,1232977
771,0,0,18760,18760,5498
774,0,0,0,0,0
817,116,116,682,682,49
856,0,0,0,0,0
856,0,0,0,0,0
856,0,0,0,0,0
869,0,0,77399965,77399965,7408113
869,0,0,82132616,82132616,7861085
874,0,0,0,0,-27603
874,0,0,0,0,0
876,155825,155825,161052,161052,13133
876,0,0,0,0,0
876,1531335,1531335,27138734,27138734,2216027
879,0,0,0,0,0
879,43383,43383,44683,44683,3132
879,1054268,1054268,17873599,17873599,1334496
880,0,0,77584007,77584007,7425728
880,0,0,80859642,80859642,7739246
883,2352,2352,13578,13578,-1621
883,0,0,0,0,0
883,0,0,0,0,0
889,0,0,0,0,0
889,19109,19109,110832,110832,10242
889,0,0,0,0,0
889,0,0,0,0,0
889,3730550,3730550,64072273,64072273,5888613
944,411,411,2331,2331,361
944,12,12,12,12,-1
944,0,0,5538,5538,1623
944,0,0,18402,18402,5393
955,132,132,747,747,45
955,0,0,112115,112115,32859
955,215,215,1237,1237,130
958,307,307,1781,1781,164
958,0,0,0,0,0
960,826,826,4752,4752,471
960,8446,8446,8868,8868,806
960,0,0,862,862,253
963,359428,359428,7669463,7669463,636601
963,81878,81878,81878,81878,6531
969,398,398,2290,2290,235
969,0,0,0,0,0
976,215,215,1225,1225,66
976,902970,902970,902970,902970,71869
976,408821,408821,9932136,9932136,636340
976,2213,2213,12609,12609,651
976,0,0,0,0,0
983,2306489,2306489,51397650,51397650,4611482
983,16119,16119,92072,92072,8196
983,174957,174957,3879278,3879278,347462
990,0,0,0,0,0
990,2411,2411,13983,13983,1080
990,3722247,3722247,3862037,3862037,289817
990,215,215,1246,1246,105
990,0,0,0,0,0
990,0,0,0,0,0
990,29487081,29487081,30711030,30711030,2608757
991,0,0,0,0,1896999
991,34666334,34666334,36269686,36269686,3385045
992,0,0,0,0,0
992,1,0,6,0,0
992,2662707,41224,2822470,43697,10559
994,68,68,395,395,32
994,2247395,2247395,50807721,50807721,4647280
994,21474,21474,124550,124550,11321
997,105002,105002,2754671,2754671,255822
997,475039,475039,503384,503384,28120
997,691651,691651,12395075,12395075,1143240
1001,460,460,2645,2645,375
1001,261973,261973,269307,269307,17023
1001,994,994,5716,5716,269
1001,1942068,1942068,43508669,43508669,4303514
1001,10863,10863,62464,62464,6259
1004,352010,352010,7598674,7598674,306618
1004,0,0,0,0,421795
1004,0,0,0,0,714751
1004,0,0,0,0,0
1004,11479950,11479950,11801387,11801387,757800
1004,78140177,78140177,17581540,17581540,1072425
1012,710435,710435,16244041,16244041,1474610
1012,282645,282645,293218,293218,26610
1016,137,137,0,0,-48
1016,0,0,0,0,-261
1016,0,0,0,0,895
1016,435,435,2535,2535,80
1016,232626,232626,240330,240330,13876
1016,168,168,979,979,-18
1016,52621,52621,54400,54400,3361
1016,0,0,5226,5226,1532
1024,0,0,0,0,0
1024,0,0,0,0,0
1024,0,0,0,0,0
1024,0,0,0,0,0
1024,0,0,0,0,0
1047,0,0,0,0,-26
1047,0,0,0,0,-7625
1067,0,0,14693,14693,4306
1073,498864,193597,526252,204240,24004
1073,72996,33168,1293507,587966,57642
1082,64362,62994,367636,359827,34835
1082,123820,120724,128323,125123,11667
1082,0,0,0,0,0
1082,3255673,3198027,58120882,57091643,5653797
1091,188407,188407,199523,199523,17251
1091,0,0,0,0,0
1091,800097,800097,13977098,13977098,1235602
1104,31806,31806,32754,32754,1424
1104,182613,182613,187797,187797,5449
1104,0,0,0,0,0
1167,2168,992,12614,5777,970
1167,7135,3314,7444,3458,609
